t;Taylor;RKN
43,7;-4,66679905853068;-3,24972072444635
43,8;-4,91657368364102;-3,47823960418587
43,9;-5,1227908064159;-3,67732442427587
44,0;-5,28445881928955;-3,84588732274475
44,1;-5,40081706754425;-3,98293777708691
44,2;-5,47134330411;-4,087596269753
44,3;-5,4957637021147;-4,1591115465438
44,4;-5,47406517327443;-4,19688105795754
44,5;-5,40650960923057;-4,20047404121752
44,6;-5,2936495416968;-4,16965658150021
44,7;-5,13634460928279;-4,10441788807171
44,8;-4,93577812730069;-4,00499693751397
44,9;-4,69347298453083;-3,87190857442267
45,0;-4,41130604015062;-3,70596812180787
45,1;-4,09152016661859;-3,50831354028737
45,2;-3,73673308148335;-3,28042418779339
45,3;-3,34994213347754;-3,02413527005359
45,4;-2,93452425585677;-2,74164713607209
45,5;-2,49423037211998;-2,435528661114
45,6;-2,03317363474377;-2,10871407058014
45,7;-1,5558109945286;-1,76449268937468
45,8;-1,06691773417844;-1,40649125012933
45,9;-0,57155475190194;-1,03864855671281
46,0;-0,0750285457732534;-0,665182473198352
46,1;0,417155976399825;-0,29054938896225
46,2;0,899349557894282;0,0806035062974033
46,3;1,36581904086359;0,443492622355265
46,4;1,81081354093196;0,793258352241818
46,5;2,22863551970713;1,12503058375315
46,6;2,61371576955143;1,43399833113974
46,7;2,96069118410251;1,71548234605473
46,8;3,26448406681209;1,96500945479249
46,9;3,5203816314858;2,17838728109318
47,0;3,72411427630918;2,35177795279433
47,1;3,87193116844977;2,481769358274
47,2;3,96067166175409;2,56544251623574
47,3;3,9878310863957;2,60043365056634
47,4;3,95161949698724;2,58498962071775
47,5;3,85101204437058;2,51801544661328
47,6;3,68578974507913;2,39911278408026
47,7;3,45656955968299;2,22860835024998
47,8;3,16482285459255;2,00757146562517
47,9;2,812881508516;1,73782006742908
48,0;2,4039311312015;1,42191475377086
48,1;1,9419910844292;1,0631406360338
48,2;1,43188122913821;0,665477003338893
48,3;0,8791755634607;0,233555033351628
48,4;0,290143159460473;-0,227395986650305
48,5;-0,328322953397606;-0,711613240409123
48,6;-0,968788077523268;-1,2128748630733
48,7;-1,62336820876202;-1,72458322021236
48,8;-2,28383116702853;-2,23985570411492
48,9;-2,94170501153724;-2,75162160863366
49,0;-3,58839210029083;-3,25272351269138
49,1;-4,21528702643453;-3,73602150054107
49,2;-4,8138965686913;-4,19449847627122
49,3;-5,37595973157814;-4,62136479251626
49,4;-5,89356592500302;-5,01016040983551
49,5;-6,35926934297598;-5,35485283402683
49,6;-6,76619764761946;-5,6499291432917
49,7;-7,10815314677068;-5,89048051451182
49,8;-7,37970476984264;-6,07227778609766
49,9;-7,57626929515283;-6,19183675144526
50,0;-7,69418045988095;-6,24647205891618
50,1;-7,7307447878137;-6,23433879783684
50,2;-7,68428319617161;-6,15446107124498
50,3;-7,55415768673196;-6,00674709057465
50,4;-7,34078268343639;-5,79199057047731
50,5;-7,04562084371035;-5,51185844866284
50,6;-6,67116343866862;-5,16886520107823
50,7;-6,22089566302592;-4,76633426202767
50,8;-5,69924749371939;-4,30834728721891
50,9;-5,11153096198377;-3,79968221067873
51,0;-4,46386493217325;-3,2457412398349
51,1;-3,76308868763017;-2,65247010305291
51,2;-3,01666580545019;-2,02627000728698
51,3;-2,23257995470951;-1,37390387756791
51,4;-1,41922437383102;-0,702398532742078
51,5;-0,585286870158748;-0,0189445017985473
51,6;0,260367762928326;0,669204798431229
51,7;1,10881599958719;1,35483282044468
51,8;1,95119261331099;2,0308569241593
51,9;2,77880464880594;2,69042112317421
52,0;3,58324058358346;3,32698307702153
52,1;4,35647304801701;3,93439400453532
52,2;5,0909536202525;4,50697035434347
52,3;5,77969838517611;5,03955624930002
52,4;6,41636314079954;5,52757591839804
52,5;6,99530734668417;5,96707553801964
52,6;7,51164613285505;6,35475411977102
52,7;7,96128991930851;6,68798329999865
52,8;8,34097143085006;6,96481610177179
52,9;8,64826012477139;7,18398494913194
53,0;8,88156427505618;7,34488941143812
53,1;9,04012117187251;7,44757433865877
53,2;9,12397609485006;7,49269921283543
53,3;9,13395089923247;7,48149968348779
53,4;9,07160321209272;7,4157423727833
53,5;8,93917736859651;7,29767412777482
53,6;8,73954832358925;7,12996696045244
53,7;8,47615984999643;6,91565995094263
53,8;8,1529583817646;6,65809939475815
53,9;7,77432387510666;6,36087845205085
54,0;7,34499904810366;6,02777750647977
54,1;6,87001831636501;5,66270636531804
54,2;6,35463767319425;5,26964933308497
54,3;5,80426666885941;4,85261407110919
54,4;5,22440352795474;4,41558501824409
54,5;4,62057430974195;3,96248199706561
54,6;3,99827686741644;3,4971244691504
54,7;3,36293020238092;3,02320173650849
54,8;2,71982964293167;2,54424921805776
54,9;2,07410810746679;2,06363076429704
55,0;1,43070354459456;1,58452681407004
55,1;0,794332480427322;1,10992804832152
55,2;0,169469450763761;0,642634060549609
55,3;-0,439668043632728;0,185256445402844
55,4;-1,02912954365618;-0,259774391735635
55,5;-1,59523718953503;-0,690199478086956
55,6;-2,13458750158288;-1,1039193968964
55,7;-2,64405011592534;-1,49898114677251
55,8;-3,12076424291515;-1,87356459644528
55,9;-3,56213362720643;-2,2259693732544
56,0;-3,96582077531725;-2,55460297842143
56,1;-4,32974117972986;-2,85797085420854
56,2;-4,65205820952301;-3,13466903935371
56,3;-4,93117925811866;-3,38337994214202
56,4;-5,16575364138644;-3,60287163801916
56,5;-5,35467262696242;-3,79200096405352
56,6;-5,4970718514601;-3,94972053938552
56,7;-5,59233624983531;-4,07508969286333
56,8;-5,64010748427509;-4,16728913027399
56,9;-5,64029372249512;-4,22563902789077
57,0;-5,59308148115208;-4,24962010036125
57,1;-5,49894912303632;-4,23889706298849
57,2;-5,35868148046603;-4,19334379469626
57,3;-5,17338497525962;-4,11306941157188
57,4;-4,9445025208782;-3,99844438459519
57,5;-4,67382742744569;-3,85012578125874
57,6;-4,36351548752531;-3,66908068100217
57,7;-4,01609440137203;-3,45660680988505
57,8;-3,63446970592224;-3,21434946126181
57,9;-3,22192640244003;-2,94431381632991
58,0;-2,78212553330539;-2,64887185060189
58,1;-2,31909503806403;-2,33076310829034
58,2;-1,83721432110938;-1,99308874439359
58,3;-1,34119208620116;-1,6392983714777
58,4;-0,836037133862904;-1,27316940182516
58,5;-0,327021973484317;-0,898778742385651
58,6;0,1803607307965;-0,520466876089524
58,7;0,68044868645736;-0,142794544567144
58,8;1,16746709875204;0,229507570026961
58,9;1,63559184638929;0,591595586828874
59,0;2,07901798357221;0,938574842262892
